iso3,country_name_clean,region,debt_source,icrg_match,year,debt,debt_service,vulnerability,exposure,sensitivity,damage_gdp,n_events,deaths_tot,gdp_pc_ppp,gdp_growth,current_account,inflation,fiscal_balance,remittances,trade_gdp_unctad,population,gdp_nominal_usd
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2000,96.424,NA,0.486678995517589,0.47158984760727,0.353040081187211,0,0,0,25547.6120273679,6.20355212555867,-7.92911790133271,0.77177979690018,-4.503,1.92484924220314,NA,74912,901003703.703704
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2001,107.566,NA,0.485488659201907,0.47158984760727,0.349657262341048,0,0,0,24014.7754593511,-4.54810977120295,-10.3865694462064,1.40279663573988,-8.576,2.69735315338884,NA,76069,877774074.074074
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2002,114.527,NA,0.483896171859886,0.47158984760727,0.347208365053387,0,0,0,23958.1638142071,1.02723486062159,-9.42082349224046,2.40765801293491,-8.829,1.58582386539374,NA,77032,898092592.592592
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2003,112.979,NA,0.483175986355117,0.47158984760727,0.3438806070117,0,0,0,25136.001691807,6.07663666406602,-9.15813030793044,1.99353055152454,-7.322,1.7268470664526,NA,77884,948100000
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2004,107.65,NA,0.48325492600571,0.47158984760727,0.341121872218756,0,0,0,26303.6179046605,5.76710338270556,-6.31005255823087,2.03007757853236,-3.901,1.71500709107246,NA,78719,1026329629.62963
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2005,82.823,NA,0.484491895590046,0.47158984760727,0.338411197306085,0,0,0,27692.634871178,6.47368941781741,-10.0007541423498,2.09875196709308,-4.294,2.53677897081613,71.2477173532952,79611,1143896296.2963
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2006,79.121,NA,0.479355462833013,0.47158984760727,0.331263418944201,0,0,0,30827.3416754916,12.7081474873625,-19.8432206578823,1.78778537419121,-6.625,2.2399825583886,63.81963226436985,80604,1303674074.07407
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2007,68.652,NA,0.479210714940806,0.47158984760727,0.338595033757847,0,0,0,33245.2678606765,9.31518272315685,-28.7521784338138,1.41605259409741,-4.979,2.04064526690987,53.987494801951286,81704,1487381481.48148
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2008,66.839,NA,0.47918880893635,0.47158984760727,0.334747253342823,0,1,0,32756.3067839753,-0.0140065981851762,-21.6400619803907,5.33380639820233,-4.716,1.90796491479587,60.925473710240816,82912,1557640740.74074
ATG,Antigua and Barbuda,Caribbean,WEO,FALSE,2009,89.151,NA,0.477987347117627,0.47158984760727,0.330310173688523,0,0,0,28405.6900929523,-11.9628794703471,-13.0521618835597,-0.550159995508914,-15.801,2.0062737661472,63.61256544502611,84173,1386518518.51852
